Name,Code,Category,Price,Change,Change%,52week,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),hyperlink
AURO,5025,"Wood & Wood ProductsIndustrial Products & Services, Main Market",0.150,0,0%,0.130-0.185,5,-0.72,0,0.039,-20.93,0.00,-18.38,3.85,95.50,https://www.klsescreener.com/v2/stocks/view/5025/auro-holdings-berhad
PINEAPP,0006,"Digital ServicesTechnology, Ace Market",0.755,-0.015,-1.9%,0.550-0.850,10,-4.79,0,0.26,-15.75,0.00,-18.44,2.90,36.62,https://www.klsescreener.com/v2/stocks/view/0006/pineapple-resources-bhd
ALCOM,2674,"MetalsIndustrial Products & Services, Main Market",0.700,0,0%,0.620-0.825,30,-26.38,3,1.42,-2.65,4.29,-18.58,0.49,94.03,https://www.klsescreener.com/v2/stocks/view/2674/alcom-group-berhad
KLCI2XL,0834EA,",",2.645,0,0%,1.920-2.645,0,-37.70,0,2.024,-7.02,0.00,-18.63,1.31,2.64,https://www.klsescreener.com/v2/stocks/view/0834EA/kenanga-klci-daily-2x-leveraged-etf
EVD,0174,"SoftwareTechnology, Ace Market",0.040,0,0%,0.025-0.080,0,-2.24,0,0.12,-1.79,0.00,-18.64,0.33,17.97,https://www.klsescreener.com/v2/stocks/view/0174/evd-berhad
VINVEST,0069,"SoftwareTechnology, Ace Market",0.025,0,0%,0.020-0.060,"17,464",-8.20,0,0.42,-0.30,0.00,-19.53,0.06,24.23,https://www.klsescreener.com/v2/stocks/view/0069/vinvest-capital-holdings-berhad
LIONIND,4235,"MetalsIndustrial Products & Services, Main Market",0.140,-0.005,-3.4%,0.125-0.225,"2,515",-23.63,0,1.18,-0.59,0.00,-20.02,0.12,100.51,https://www.klsescreener.com/v2/stocks/view/4235/lion-industries-corporation-berhad
MBN,0280,"Consumer ServicesConsumer Products & Services, Ace Market",0.105,0,0%,0.075-0.130,0,-1.39,0,0.069,-7.55,0.00,-20.10,1.52,40.53,https://www.klsescreener.com/v2/stocks/view/0280/mymbn-berhad
EQ8MID,0824EA,"Equity FundETF-Equity, ETF",1.200,0,0%,1.035-1.500,1,-22.09,1.8,1.097,-5.43,1.50,-20.13,1.09,23.52,https://www.klsescreener.com/v2/stocks/view/0824EA/eq8-msci-malaysia-islamic-dividend-etf
COMFORT,2127,"Industrial Materials, Components & EquipmentIndustrial Products & Services, Main Market",0.125,-0.005,-3.8%,0.120-0.350,"1,590",-24.51,0,1.16,-0.51,0.00,-21.13,0.11,72.87,https://www.klsescreener.com/v2/stocks/view/2127/comfort-gloves-berhad
MTOUCHE,0092,"Telecommunications Service ProvidersTelecommunications & Media, Ace Market",0.030,0,0%,0.005-0.075,0,-1.41,0,0.066,-2.13,0.00,-21.39,0.46,27.80,https://www.klsescreener.com/v2/stocks/view/0092/mtouche-technology-berhad
PARLO,0022,"Travel, Leisure & HospitalityConsumer Products & Services, Ace Market",0.030,0,0%,0.010-0.060,"1,700",-0.65,0,0.03,-4.64,0.00,-21.54,1.00,18.03,https://www.klsescreener.com/v2/stocks/view/0022/parlo-berhad
SCNWOLF,7239,"Building MaterialsIndustrial Products & Services, Main Market",0.440,-0.01,-2.2%,0.400-0.540,201,-3.89,3,0.18,-11.32,6.82,-21.60,2.44,94.54,https://www.klsescreener.com/v2/stocks/view/7239/scanwolf-corporation-bhd
IHB,7240,"ConstructionConstruction, Main Market",0.110,0,0%,0.065-0.195,700,-1.95,0,0.09,-5.64,0.00,-21.65,1.22,48.71,https://www.klsescreener.com/v2/stocks/view/7240/infraharta-holdings-berhad
VSOLAR,0066,"SoftwareTechnology, Ace Market",0.030,-0.005,-14.3%,0.030-0.060,52,-4.20,0,0.194,-0.71,0.00,-21.67,0.15,14.92,https://www.klsescreener.com/v2/stocks/view/0066/vsolar-group-berhad
NOVAMSC,0026,"SoftwareTechnology, Ace Market",0.045,0,0%,0.040-0.085,"7,936",-0.49,0,0.022,-9.17,0.00,-22.21,2.04,96.90,https://www.klsescreener.com/v2/stocks/view/0026/nova-msc-berhad
BINTAI,6998,"Industrial EngineeringIndustrial Products & Services, Main Market",0.085,-0.005,-5.6%,0.060-0.120,"13,765",-1.85,0,0.081,-4.59,0.00,-22.85,1.05,126.79,https://www.klsescreener.com/v2/stocks/view/6998/bintai-kinden-corporation-berhad
